Question Number	Question	Answer
1	¿Qué mar fue abierto por Moisés y para qué?	El mar Rojo, para huir de los egipcios.
2	¿Qué ídolo erróneamente veneran los israelitas?	Era un becerro de oro y fue adorado porque fue una tradición antigua.
3	¿Cómo mató David a Goliat?	Con una piedra de su honda.
4	¿Quién tuvo el sueño de las vacas gordas y las vacas flacas?	El faraón de Egipto.
5	¿A quién le dijo Rut las palabras: donde tú vayas, iré yo; y donde tú vivas, viviré yo; tu pueblo será mi pueblo y tu Dios será mi Dios?	A su suegra Noemí.
6	¿Cómo se llamaba el jefe del ejército a quien derrotaron los israelitas bajo el mando de la jueza Débora?	Sísera.
7	¿Quién mató a Holofernes? ¿Cómo?	Judith. Lo decapitó.
8	¿Quién despojó de su cabellera a Sansón y por qué lo hizo?	Su esposa, Dalila, para que perdiera su fuerza.
9	¿Qué comían los israelitas en el desierto?	Maná.
10	¿Quién era Nabucodonosor?	El rey de Babilonia o Asiria
11	¿Qué oficio tenía Melquisedec?	Sacerdote.
12	¿Qué construyó Noé? ¿De qué escapaba?	Un arca. De un diluvio.
13	¿De dónde era Ciro?	Ciro era de Persia.
14	¿Quién tentó a Jesús en el desierto?	Satanás.
15	¿En qué monte fue crucificado Jesús?	Gólgota. También llamado Calvario.
16	¿Qué pareja acompañó a Pablo en algunos de sus viajes?	Aquila y Priscila.
17	¿Quién se quedó sin oreja la noche que murió el maestro?	Malco.
18	¿Quién estaba siendo juzgado junto con Jesús por los romanos?	Barrabás.
19	¿Qué le hizo Juan Bautista a Jesús?	Lo bautizó.
20	¿Por cuántas monedas Judas traiciona a Jesús?	Treinta piezas de monedas de plata.
21	¿Quién hizo que decapitaran a Juan Bautista?	La hija de Herodías.
22	¿Qué amigo le escribe dos cartas a Timoteo?	Pablo de Tarso.
23	¿Quién niega a Jesús? ¿Cuántas veces?	Pedro. Tres.
24	¿A qué hora murió Jesús?	A las tres de la tarde.
25	¿En qué ciudad hizo Pablo de Tarso su discurso Al Dios desconocido?	Atenas.
26	¿En qué fueron grabados los diez mandamientos y cuáles son esos?	Fueron dados en dos tablas de piedra y son: 1. Amarás a Dios sobre todas las cosas. Sólo existe un Dios, creador y todopoderoso, al que adorar. 2. No tomarás el nombre de Dios en vano. 3. Santificarás las fiestas. 4. Honrarás a tu padre y a tu madre. 5. No matarás. 6. No cometerás actos impuros. 7. No robarás. 8. No darás falso testimonio ni mentirás. 9. No consentirás pensamientos ni deseos impuros. 10. No codiciarás los bienes ajenos.
27	¿Cuántos hijos tuvo Jacob? ¿Cómo se llamaban?	Rubén, Simeón, Leví, Judá, Dan, Neftalí, Gad, Aser, Isacar, Zabulón, José, Benjamín.
28	¿Cuál era el oficio de Mateo antes de unirse a los seguidores de Jesús? ¿Y de Pedro?	Recaudador de impuestos (publicano), pescador.
29	¿Cuántos candeleros hay en Apocalipsis y a qué se refiere?	Siete. A las 7 iglesias.
30	¿A quién se tragó el pez grande?	Jonás.
31	¿A quién le fue revelado el libro del Apocalipsis?	A Juan.
32	¿Qué libro de la Biblia narra el amor de los esposos?	El Cantar de los Cantares.
33	¿Quién es considerado el autor de los salmos?	El rey David.
34	¿Qué son Isaías, Jeremías, Ezequiel y Daniel?	Profetas. Los profetas mayores.
35	¿Qué profeta escribió el libro de las Lamentaciones?	Jeremías.
36	¿Cuál era el más escéptico de los discípulos de Jesús?	Tomás.
